algoritmo, qtd, rdn1, rdn2, rdn3, ordem, inver
Bubble,100,0,0,0,0,0
Insertion,100,0,0,0,0,0
Selection,100,0,0,0,0,0
Array,100,0,0,0,0,0
QuickSort,100,0,0,0,0,1
Merge,100,0,0,0,0,0
Bubble,600,1,0,1,0,0
Insertion,600,0,0,1,0,0
Selection,600,1,0,1,0,1
Array,600,0,0,0,0,0
QuickSort,600,0,0,0,0,0
Merge,600,0,0,0,0,0
Bubble,1100,1,0,0,0,0
Insertion,1100,0,0,1,0,0
Selection,1100,0,0,0,0,0
Array,1100,0,0,0,0,1
QuickSort,1100,0,0,0,0,0
Merge,1100,0,0,0,0,0
Bubble,1600,1,1,1,0,0
Insertion,1600,0,0,1,0,0
Selection,1600,0,0,0,1,0
Array,1600,0,0,0,0,0
QuickSort,1600,1,0,0,1,2
Merge,1600,0,0,0,0,0
Bubble,2100,2,1,1,0,0
Insertion,2100,1,0,0,0,0
Selection,2100,0,1,1,0,0
Array,2100,0,0,0,0,0
QuickSort,2100,0,0,0,3,3
Merge,2100,0,0,1,0,0
Bubble,2600,2,2,3,1,1
Insertion,2600,0,0,0,0,0
Selection,2600,1,0,1,2,1
Array,2600,0,0,1,0,0
QuickSort,2600,0,0,0,4,4
Merge,2600,1,0,0,0,0
Bubble,3100,3,3,3,0,2
Insertion,3100,1,0,0,0,2
Selection,3100,2,1,1,2,1
Array,3100,0,0,0,0,0
QuickSort,3100,1,0,0,7,6
Merge,3100,1,0,0,0,0
Bubble,3600,5,5,5,0,3
Insertion,3600,1,0,1,0,1
Selection,3600,3,3,2,1,3
Array,3600,0,0,0,0,0
QuickSort,3600,0,0,0,9,8
Merge,3600,0,0,0,1,0
Bubble,4100,7,6,6,2,4
Insertion,4100,2,1,0,0,2
Selection,4100,3,2,3,3,4
Array,4100,0,0,0,0,0
QuickSort,4100,0,1,0,12,11
Merge,4100,1,0,0,0,0
Bubble,4600,8,9,8,3,4
Insertion,4600,1,1,2,0,1
Selection,4600,5,4,3,3,3
Array,4600,0,0,0,0,0
QuickSort,4600,0,1,0,15,14
Merge,4600,0,0,0,0,1
Bubble,5100,11,11,11,2,6
Insertion,5100,2,1,1,0,3
Selection,5100,5,5,4,4,5
Array,5100,0,0,0,0,0
QuickSort,5100,0,0,0,18,17
Merge,5100,0,0,0,0,0
Bubble,5600,14,14,14,4,7
Insertion,5600,2,1,2,0,3
Selection,5600,6,5,6,6,5
Array,5600,1,0,0,0,0
QuickSort,5600,1,0,0,23,20
Merge,5600,0,0,0,1,0
Bubble,6100,17,19,17,5,8
Insertion,6100,3,1,2,0,5
Selection,6100,7,6,7,6,7
Array,6100,1,0,0,0,0
QuickSort,6100,0,0,0,27,24
Merge,6100,0,0,1,0,1
Bubble,6600,21,22,22,5,10
Insertion,6600,3,2,3,0,5
Selection,6600,9,8,7,7,9
Array,6600,0,0,0,0,0
QuickSort,6600,0,0,0,31,29
Merge,6600,0,0,0,0,2
Bubble,7100,33,28,27,6,12
Insertion,7100,2,3,3,0,7
Selection,7100,10,9,9,9,10
Array,7100,0,0,0,0,0
QuickSort,7100,1,0,1,36,34
Merge,7100,0,1,0,0,0
Bubble,7600,32,32,34,7,14
Insertion,7600,3,3,3,0,8
Selection,7600,10,11,11,10,11
Array,7600,0,0,0,0,0
QuickSort,7600,0,0,0,42,38
Merge,7600,0,0,0,0,0
Bubble,8100,38,38,38,7,15
Insertion,8100,5,3,3,0,8
Selection,8100,12,12,12,12,12
Array,8100,1,0,0,0,0
QuickSort,8100,1,0,0,48,42
Merge,8100,1,1,0,1,0
Bubble,8600,45,46,46,9,18
Insertion,8600,5,4,5,0,9
Selection,8600,13,14,14,14,14
Array,8600,0,1,0,0,0
QuickSort,8600,0,1,0,54,49
Merge,8600,0,1,0,0,0
Bubble,9100,50,53,51,10,19
Insertion,9100,4,5,4,0,10
Selection,9100,15,15,15,15,15
Array,9100,0,0,0,0,0
QuickSort,9100,0,0,0,57,54
Merge,9100,1,0,0,0,1
Bubble,9600,58,61,61,10,23
Insertion,9600,5,5,6,0,11
Selection,9600,16,17,17,16,19
Array,9600,0,0,0,0,0
QuickSort,9600,0,0,1,64,60
Merge,9600,0,0,0,0,0
Bubble,10100,68,66,67,11,23
Insertion,10100,5,6,5,0,13
Selection,10100,18,18,18,18,18
Array,10100,0,0,0,0,0
QuickSort,10100,1,0,0,73,68
Merge,10100,1,0,0,0,0
Bubble,10600,78,77,78,13,26
Insertion,10600,7,6,6,0,14
Selection,10600,20,20,21,20,22
Array,10600,0,0,0,0,0
QuickSort,10600,0,0,0,79,73
Merge,10600,1,0,0,0,1
Bubble,11100,87,88,87,15,29
Insertion,11100,7,7,8,0,15
Selection,11100,22,23,22,22,24
Array,11100,0,0,1,0,0
QuickSort,11100,1,0,0,87,81
Merge,11100,2,0,1,0,0
Bubble,11600,100,97,96,16,32
Insertion,11600,8,7,8,1,16
Selection,11600,24,26,24,24,27
Array,11600,0,0,0,0,0
QuickSort,11600,1,0,1,93,86
Merge,11600,1,1,0,0,0
Bubble,12100,107,107,106,17,35
Insertion,12100,9,8,9,0,18
Selection,12100,27,27,27,27,28
Array,12100,0,0,0,0,0
QuickSort,12100,1,1,0,104,95
Merge,12100,1,1,0,1,0
Bubble,12600,117,117,119,19,37
Insertion,12600,9,11,10,0,20
Selection,12600,29,30,28,30,30
Array,12600,0,0,1,0,0
QuickSort,12600,1,0,0,115,106
Merge,12600,0,1,0,0,0
Bubble,13100,130,129,133,21,41
Insertion,13100,11,10,11,0,21
Selection,13100,30,31,31,30,33
Array,13100,0,0,1,0,0
QuickSort,13100,1,0,0,124,113
Merge,13100,0,0,0,0,0
Bubble,13600,141,146,142,22,43
Insertion,13600,11,12,11,0,23
Selection,13600,34,34,34,34,36
Array,13600,0,1,0,0,0
QuickSort,13600,1,1,0,132,125
Merge,13600,1,0,0,0,0
Bubble,14100,157,156,154,23,47
Insertion,14100,12,13,12,0,26
Selection,14100,36,36,37,37,39
Array,14100,1,0,0,0,0
QuickSort,14100,1,1,0,145,134
Merge,14100,1,1,1,0,1
Bubble,14600,168,163,166,25,52
Insertion,14600,13,13,13,0,27
Selection,14600,38,39,39,38,40
Array,14600,0,1,0,0,0
QuickSort,14600,1,0,1,149,137
Merge,14600,0,0,2,0,0
Bubble,15100,184,177,181,27,53
Insertion,15100,13,14,14,0,28
Selection,15100,41,42,41,40,43
Array,15100,0,1,0,0,0
QuickSort,15100,1,1,1,161,151
Merge,15100,1,1,1,1,0
Bubble,15600,192,195,194,29,58
Insertion,15600,16,14,15,0,31
Selection,15600,43,44,45,43,46
Array,15600,0,0,0,0,0
QuickSort,15600,1,0,1,170,156
Merge,15600,1,1,2,0,1
Bubble,16100,204,204,205,32,62
Insertion,16100,16,15,17,0,33
Selection,16100,48,46,45,46,52
Array,16100,0,0,0,0,0
QuickSort,16100,1,1,0,184,169
Merge,16100,0,2,1,1,0
